ID_ISIN,ID_CUSIP,ID_SEDOL1,ID_BB_GLOBAL,TICKER,NAME,SECURITY_DES,MARKET_SECTOR_DES,CRNCY,CNTRY_OF_INCORPORATION,ID_MIC_PRIM_EXCH,ISSUE_DT,MATURITY,CPN,CPN_FREQ,DAY_CNT_DES,PAR_AMT,AMT_OUTSTANDING,PAYMENT_RANK,CALLABLE,PX_SETTLE_DAYS,FEED_SOURCE_ID,ROW_HASH
NL3BR549LWQ1,253DGPWP4,CN05LP6,BBG8HJ8502L2,OAKF,OAKFIELD INDUSTRIALS,OAKFIELD INDUSTRIALS 6.700% 2029,Corp,EUR,NL,XAMS,02/24/2016,02/24/2029,6.700,Quarterly,30/360,1000,632610000,Senior Unsecured,N,2,BBG-SFTP-01,D4TXK6TQV0T5
ITDH5DKTENY4,510Z7B1C8,CVRM769,BBG01RR9VWVC,ACME,ACME FINANCIAL,ACME FINANCIAL 3.720% 2024,Corp,EUR,IT,XMIL,02/21/2017,02/21/2024,3.720,Semi-Annual,ACT/ACT,1000,1449780000,Subordinated,N,2,BBG-SFTP-01,5XFLFVZ442KX
IT3JVJYWC7N4,978P48473,3F6ZMD8,BBG4MTHXRSYS,MERI,MERIDIAN AEROSPACE,MERIDIAN AEROSPACE 6.750% 2023,Corp,EUR,IT,XMIL,04/14/2020,04/14/2023,6.750,Semi-Annual,30/360,100000,279930000,Subordinated,N,2,BBG-SFTP-01,R2P96LAELDGQ
GBXVGBCLBZD9,05638DQ60,2ZGG2Z4,BBG1XC094DHX,BLUE,BLUEPEAK RETAIL GROUP,BLUEPEAK RETAIL GROUP 3.650% 2028,Corp,GBP,GB,XLON,07/19/2017,07/19/2028,3.650,Quarterly,30/360,1000,877460000,Senior Secured,N,2,BBG-SFTP-01,TJ6828JY8DG5
USKPJ7HGLP70,980KDFYA4,BLX0ZX1,BBGF8PPPLPWR,HARB,HARBORSTONE AEROSPACE,HARBORSTONE AEROSPACE 6.620% 2030,Corp,USD,US,XNYS,09/01/2018,09/01/2030,6.620,Annual,30/360,1000,1426880000,Senior Secured,Y,2,BBG-SFTP-01,FXRNV3RBLHPX
USSDWBBDYDA3,75213W5G5,BNCF597,BBGWVA8MZ2HA,IRON,IRONBRIDGE LOGISTICS,IRONBRIDGE LOGISTICS 5.270% 2037,Corp,USD,US,XNYS,06/15/2023,06/15/2037,5.270,Quarterly,ACT/ACT,100000,325080000,Senior Secured,N,2,BBG-SFTP-01,LSEGWMB7DJ45
UST9ZPBMNDM3,60063WBB2,B5FF8C2,BBG4AL66VF9C,ACME1,ACME INDUSTRIALS,ACME INDUSTRIALS COMMON STOCK,Equity,USD,US,XNYS,04/24/2019,,,,,,,,N,2,BBG-SFTP-01,N8T7YXG2NA44
GBMYLTY3HYX3,510GAL233,CY3JB18,BBGE6MENM22X,SILV7,SILVERLINE RETAIL GROUP,SILVERLINE RETAIL GROUP COMMON STOCK,Equity,GBP,GB,XLON,07/07/2022,,,,,,,,N,2,BBG-SFTP-01,B80Z44PG39C1
CHMC0HF5MQ24,850FDMM10,DZFRV49,BBGP7FFTA7J9,SILV,SILVERLINE INDUSTRIALS,SILVERLINE INDUSTRIALS 5.080% 2021,Corp,CHF,CH,XSWX,04/03/2017,04/03/2021,5.080,Annual,30/360,1000,1209720000,Senior Secured,N,2,BBG-SFTP-01,ER0YEVG0QNEX
GB2K2D416YE4,286Y9P2X3,38BM4Y0,BBGHVRS58HMX,SOLA,SOLARIS MARINE,SOLARIS MARINE 3.060% 2022,Corp,GBP,GB,XLON,04/28/2015,04/28/2022,3.060,Semi-Annual,ACT/ACT,1000,1089270000,Senior Secured,N,2,BBG-SFTP-01,SAJ5JZVR850M
NLXXD92L22K8,573H5K6W5,2TYYBK6,BBGKAHM9G0KV,ACME7,ACME RETAIL GROUP,ACME RETAIL GROUP COMMON STOCK,Equity,EUR,NL,XAMS,06/04/2020,,,,,,,,N,2,BBG-SFTP-01,7SFXL2ER1NSK
IT3HVCSQC1Y9,1680LAJA1,CQX88J6,BBGC5DNF9853,KEST7,KESTREL MARINE,KESTREL MARINE COMMON STOCK,Equity,EUR,IT,XMIL,02/02/2019,,,,,,,,N,2,BBG-SFTP-01,BPMEDDRZAJ3R
ITNPDBXEZVC8,9590WXN25,CF79DV5,BBGX547WT1LT,IRON3,IRONBRIDGE PHARMA,IRONBRIDGE PHARMA COMMON STOCK,Equity,EUR,IT,XMIL,06/21/2015,,,,,,,,N,2,BBG-SFTP-01,5QQKYXP7EN5T
DE78GA7SB9Q9,935GG0Q34,0FCNJ16,BBGBSFNMGQFB,MERI,MERIDIAN CAPITAL,MERIDIAN CAPITAL 4.150% 2023,Corp,EUR,DE,XETR,09/01/2018,09/01/2023,4.150,Quarterly,ACT/360,1000,887680000,Subordinated,N,2,BBG-SFTP-01,8L1X13HKYM9J
DEMBQ6AB67Q7,028QYLNZ6,DWFH3H5,BBG8GZ47TCQT,ACME,ACME MATERIALS,ACME MATERIALS 2.700% 2030,Corp,EUR,DE,XETR,09/15/2016,09/15/2030,2.700,Quarterly,ACT/ACT,1000,1321110000,Senior Secured,N,2,BBG-SFTP-01,NA2AGZ4ZJ4M9
DEFZPJ85Z838,332A6TZZ3,BTM36N4,BBGCZNY2F47K,KEST,KESTREL AEROSPACE,KESTREL AEROSPACE 6.780% 2033,Corp,EUR,DE,XETR,09/27/2019,09/27/2033,6.780,Annual,ACT/ACT,100000,1386000000,Senior Unsecured,N,2,BBG-SFTP-01,GG15QJN7BM1T
DE3EXRSG6WC0,2657Q6MN0,DLXYT06,BBG8HGLKHHWX,REDC,REDCLIFF MINING,REDCLIFF MINING 4.470% 2034,Corp,EUR,DE,XETR,06/21/2020,06/21/2034,4.470,Quarterly,ACT/360,100000,749700000,Senior Unsecured,Y,2,BBG-SFTP-01,HYN6AG80DKFD
CHAT7XWFA0E5,601V14766,C774FL8,BBG91PXL8RZQ,CRES5,CRESCENT MATERIALS,CRESCENT MATERIALS COMMON STOCK,Equity,CHF,CH,XSWX,01/19/2017,,,,,,,,N,2,BBG-SFTP-01,01FQASHK3FDS
GBLGC42Q5ZJ7,7700GP0Z9,C0XNDF0,BBG5ABQNQT1D,IRON8,IRONBRIDGE ENERGY,IRONBRIDGE ENERGY COMMON STOCK,Equity,GBP,GB,XLON,11/14/2023,,,,,,,,N,2,BBG-SFTP-01,Z2NRGQPPN364
NLG6AXW9VBW5,856KHNLF7,CHRG235,BBGLC75FCNF7,HARB,HARBORSTONE CAPITAL,HARBORSTONE CAPITAL 0.610% 2027,Corp,EUR,NL,XAMS,01/11/2022,01/11/2027,0.610,Annual,ACT/360,1000,192060000,Senior Unsecured,N,2,BBG-SFTP-01,232GYNYF5Z9A
IT18E0FYG5X9,0812TMHB7,C1SQHF9,BBG9Z0BH29B4,REDC7,REDCLIFF FOODS,REDCLIFF FOODS COMMON STOCK,Equity,EUR,IT,XMIL,10/17/2015,,,,,,,,N,2,BBG-SFTP-01,KX4QXL8P1JBK
