ISIN_CD,CUSIP_CD,SEDOL_CD,TKR,ISSUER_NM,SEC_DESC,ASSET_CLS,CRNCY_CD,CNTRY_INC,EXCH_MIC_CD,ISS_DT,MAT_DT,CPN_RT,CPN_FREQ_CD,DAY_CNT,PAR_VAL,OUTSTD_AMT,SEN_LVL,CALL_IND,MIN_DENOM,SEC_STAT,SRC_SYS_CD,LOAD_TS
ITDH5DKTENY4,510Z7B1C8,CVRM769,ACME,Acme Financial,Acme Financial 3.720% 2024,Corporate Bond,EUR,IT,XMIL,2017-02-21,2024-02-21,3.720,S,ACT/ACT,1000,1449780000,Subordinated,N,1000,Active,ICE-REF-2,2017-02-21T04:00:00Z
IT3JVJYWC7N4,978P48473,3F6ZMD8,MERI,Meridian Aerospace,Meridian Aerospace 6.750% 2023,Corporate Bond,EUR,IT,XMIL,2020-04-14,2023-04-14,6.750,S,30/360,100000,279930000,Subordinated,N,100000,Active,ICE-REF-2,2020-04-14T04:00:00Z
GBXVGBCLBZD9,05638DQ60,2ZGG2Z4,BLUE,Bluepeak Retail Group,Bluepeak Retail Group 3.650% 2028,Corporate Bond,GBP,GB,XLON,2017-07-19,2028-07-19,3.650,Q,30/360,1000,877460000,Senior Secured,N,1000,Active,ICE-REF-2,2017-07-19T04:00:00Z
USKPJ7HGLP70,980KDFYA4,BLX0ZX1,HARB,Harborstone Aerospace,Harborstone Aerospace 6.620% 2030,Corporate Bond,USD,US,XNYS,2018-09-01,2030-09-01,6.620,A,30/360,1000,1426880000,Senior Secured,Y,1000,Active,ICE-REF-2,2018-09-01T04:00:00Z
USSDWBBDYDA3,75213W5G5,BNCF597,IRON,Ironbridge Logistics,Ironbridge Logistics 5.270% 2037,Corporate Bond,USD,US,XNYS,2023-06-15,2037-06-15,5.270,Q,ACT/ACT,100000,325080000,Senior Secured,N,100000,Active,ICE-REF-2,2023-06-15T04:00:00Z
UST9ZPBMNDM3,60063WBB2,B5FF8C2,ACME1,Acme Industrials,Acme Industrials Common Stock,Equity,USD,US,XNYS,2019-04-24,,,,,,,,N,,Active,ICE-REF-2,2019-04-24T04:00:00Z
GBMYLTY3HYX3,510GAL233,CY3JB18,SILV7,Silverline Retail Group,Silverline Retail Group Common Stock,Equity,GBP,GB,XLON,2022-07-07,,,,,,,,N,,Active,ICE-REF-2,2022-07-07T04:00:00Z
CHMC0HF5MQ24,850FDMM10,DZFRV49,SILV,Silverline Industrials,Silverline Industrials 5.080% 2021,Corporate Bond,CHF,CH,XSWX,2017-04-03,2021-04-03,5.080,A,30/360,1000,1209720000,Senior Secured,N,1000,Active,ICE-REF-2,2017-04-03T04:00:00Z
GB2K2D416YE4,286Y9P2X3,38BM4Y0,SOLA,Solaris Marine,Solaris Marine 3.060% 2022,Corporate Bond,GBP,GB,XLON,2015-04-28,2022-04-28,3.060,S,ACT/ACT,1000,1089270000,Senior Secured,N,1000,Active,ICE-REF-2,2015-04-28T04:00:00Z
NLXXD92L22K8,573H5K6W5,2TYYBK6,ACME7,Acme Retail Group,Acme Retail Group Common Stock,Equity,EUR,NL,XAMS,2020-06-04,,,,,,,,N,,Active,ICE-REF-2,2020-06-04T04:00:00Z
IT3HVCSQC1Y9,1680LAJA1,CQX88J6,KEST7,Kestrel Marine,Kestrel Marine Common Stock,Equity,EUR,IT,XMIL,2019-02-02,,,,,,,,N,,Active,ICE-REF-2,2019-02-02T04:00:00Z
ITNPDBXEZVC8,9590WXN25,CF79DV5,IRON3,Ironbridge Pharma,Ironbridge Pharma Common Stock,Equity,EUR,IT,XMIL,2015-06-21,,,,,,,,N,,Active,ICE-REF-2,2015-06-21T04:00:00Z
DE78GA7SB9Q9,935GG0Q34,0FCNJ16,MERI,Meridian Capital,Meridian Capital 4.150% 2023,Corporate Bond,EUR,DE,XETR,2018-09-01,2023-09-01,4.150,Q,ACT/360,1000,887680000,Subordinated,N,1000,Active,ICE-REF-2,2018-09-01T04:00:00Z
DEMBQ6AB67Q7,028QYLNZ6,DWFH3H5,ACME,Acme Materials,Acme Materials 2.700% 2030,Corporate Bond,EUR,DE,XETR,2016-09-15,2030-09-15,2.700,Q,ACT/ACT,1000,1321110000,Senior Secured,N,1000,Active,ICE-REF-2,2016-09-15T04:00:00Z
DEFZPJ85Z838,332A6TZZ3,BTM36N4,KEST,Kestrel Aerospace,Kestrel Aerospace 6.780% 2033,Corporate Bond,EUR,DE,XETR,2019-09-27,2033-09-27,6.780,A,ACT/ACT,100000,1386000000,Senior Unsecured,N,100000,Active,ICE-REF-2,2019-09-27T04:00:00Z
DE3EXRSG6WC0,2657Q6MN0,DLXYT06,REDC,Redcliff Mining,Redcliff Mining 4.470% 2034,Corporate Bond,EUR,DE,XETR,2020-06-21,2034-06-21,4.470,Q,ACT/360,100000,749700000,Senior Unsecured,Y,100000,Active,ICE-REF-2,2020-06-21T04:00:00Z
CHAT7XWFA0E5,601V14766,C774FL8,CRES5,Crescent Materials,Crescent Materials Common Stock,Equity,CHF,CH,XSWX,2017-01-19,,,,,,,,N,,Active,ICE-REF-2,2017-01-19T04:00:00Z
GBLGC42Q5ZJ7,7700GP0Z9,C0XNDF0,IRON8,Ironbridge Energy,Ironbridge Energy Common Stock,Equity,GBP,GB,XLON,2023-11-14,,,,,,,,N,,Active,ICE-REF-2,2023-11-14T04:00:00Z
NLG6AXW9VBW5,856KHNLF7,CHRG235,HARB,Harborstone Capital,Harborstone Capital 0.610% 2027,Corporate Bond,EUR,NL,XAMS,2022-01-11,2027-01-11,0.610,A,ACT/360,1000,192060000,Senior Unsecured,N,1000,Active,ICE-REF-2,2022-01-11T04:00:00Z
IT18E0FYG5X9,0812TMHB7,C1SQHF9,REDC7,Redcliff Foods,Redcliff Foods Common Stock,Equity,EUR,IT,XMIL,2015-10-17,,,,,,,,N,,Matured,ICE-REF-2,2015-10-17T04:00:00Z
