ISIN,CUSIP,SEDOL,RIC,Ticker Symbol,Issuer Name,Security Description,Asset Category,Currency Code,Country of Incorporation,Exchange MIC,Primary Exchange,Issue Date,Maturity Date,Coupon Rate,Coupon Frequency,Day Count Basis,Face Value,Outstanding Amount,Seniority,Callable Flag,Security Status,PermID,Quality Flag
SEKDVEZHAYZ3,700HKCA49,2GW0525,SOLA.ST,SOLA6,Solaris Capital,Solaris Capital Common Stock,Equity,SEK,SE,XSTO,Nasdaq Stockholm,2024-12-28,,,,,,,,No,Active,5236117401,B
USV58RPEHA25,951Q0K354,0GS45D4,KEST.N,KEST,Kestrel Systems,Kestrel Systems 0.830% 2024,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2021-09-19,2024-09-19,0.830,Quarterly,ACT/360,1000,1146090000,Subordinated,No,Active,3686911886,A
NLNMXPC10V12,873VH4B81,CLJKMY4,OAKF.AS,OAKF,Oakfield Utilities,Oakfield Utilities 4.260% 2027,Corporate Bond,EUR,NL,XAMS,Euronext Amsterdam,2021-01-11,2027-01-11,4.260,Annual,30/360,1000,545160000,Subordinated,Yes,Active,0840803720,A
USTV86QZD955,048VZD2Z1,BVY0JZ0,OAKF.N,OAKF,Oakfield Materials,Oakfield Materials 1.020% 2030,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2021-06-01,2030-06-01,1.020,Semi-Annual,ACT/ACT,100000,1205360000,Senior Unsecured,No,Active,1317562909,A
USWE2LQ69TW2,3132G7HG3,DX2QQK6,MERI.N,MERI3,Meridian Pharma,Meridian Pharma Common Stock,Equity,USD,US,XNYS,New York Stock Exchange,2022-09-21,,,,,,,,No,Active,6516678859,A
DEDMNTDFKAC5,2195LQXD2,0Z388S0,STEL.DE,STEL,Stellar Pharma,Stellar Pharma 4.050% 2037,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2023-06-26,2037-06-26,4.050,Quarterly,ACT/360,1000,504660000,Senior Unsecured,No,Active,4591426278,B
NL176X8VJF79,254AY0XD0,B5PG0M9,NORD.AS,NORD1,Nordwind Capital,Nordwind Capital Common Stock,Equity,EUR,NL,XAMS,Euronext Amsterdam,2021-10-22,,,,,,,,No,Matured,4914388349,A
US0L5G4E11F3,6037AD8E9,DS56SQ8,IRON.N,IRON2,Ironbridge Systems,Ironbridge Systems Common Stock,Equity,USD,US,XNYS,New York Stock Exchange,2021-03-01,,,,,,,,No,Matured,4801217929,A
DEM8DES88J27,7163PPK62,DD4HVQ8,VANT.DE,VANT,Vantage Retail Group,Vantage Retail Group 4.980% 2021,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2015-09-28,2021-09-28,4.980,Quarterly,ACT/360,1000,1143300000,Senior Unsecured,Yes,Active,5829876680,A
GBXSV72Z9459,912Z76RT8,C1C65X9,SOLA.L,SOLA,Solaris Retail Group,Solaris Retail Group 5.610% 2026,Corporate Bond,GBP,GB,XLON,London Stock Exchange,2016-10-20,2026-10-20,5.610,Semi-Annual,ACT/360,1000,558180000,Senior Unsecured,No,Active,6336735344,B
JP73H5CARZJ5,598JQJFP7,0QKPSC5,HARB.T,HARB,Harborstone Pharma,Harborstone Pharma 7.300% 2030,Corporate Bond,JPY,JP,XTKS,Tokyo Stock Exchange,2015-07-08,2030-07-08,7.300,Quarterly,ACT/ACT,1000,905850000,Senior Unsecured,Yes,Active,3508536899,A
DEPGWY7LBBJ9,472DA9548,C6W3Z13,HARB.DE,HARB0,Harborstone Utilities,Harborstone Utilities Common Stock,Equity,EUR,DE,XETR,Deutsche Boerse Xetra,2019-08-16,,,,,,,,No,Active,2246732232,A
SED0GNM9VXL7,814RKG0F7,CHRVGV6,SILV.ST,SILV,Silverline Logistics,Silverline Logistics 5.720% 2029,Corporate Bond,SEK,SE,XSTO,Nasdaq Stockholm,2018-03-07,2029-03-07,5.720,Semi-Annual,ACT/360,1000,1068200000,Senior Secured,Yes,Active,2391872720,B
ITKYGQ27LKH0,248PSW7W0,C0N44C7,HARB.MI,HARB5,Harborstone Networks,Harborstone Networks Common Stock,Equity,EUR,IT,XMIL,Borsa Italiana,2024-05-23,,,,,,,,No,Active,7835611006,A
NL1WTMQCYMM9,332STFME0,BVKXL68,REDC.AS,REDC1,Redcliff Pharma,Redcliff Pharma Common Stock,Equity,EUR,NL,XAMS,Euronext Amsterdam,2018-04-18,,,,,,,,No,Active,0053257190,A
DEV2J49RNK49,686KVGPN1,C6F6X48,OAKF.DE,OAKF7,Oakfield Energy,Oakfield Energy Common Stock,Equity,EUR,DE,XETR,Deutsche Boerse Xetra,2023-06-17,,,,,,,,No,Matured,8480717495,B
NL3BR549LWQ1,253DGPWP4,CN05LP6,OAKF.AS,OAKF,Oakfield Industrials,Oakfield Industrials 6.700% 2029,Corporate Bond,EUR,NL,XAMS,Euronext Amsterdam,2016-02-24,2029-02-24,6.700,Quarterly,30/360,1000,632610000,Senior Unsecured,No,Active,7060089573,B
ITDH5DKTENY4,510Z7B1C8,CVRM769,ACME.MI,ACME,Acme Financial,Acme Financial 3.720% 2024,Corporate Bond,EUR,IT,XMIL,Borsa Italiana,2017-02-21,2024-02-21,3.720,Semi-Annual,ACT/ACT,1000,1449780000,Subordinated,No,Active,4236133219,A
IT3JVJYWC7N4,978P48473,3F6ZMD8,MERI.MI,MERI,Meridian Aerospace,Meridian Aerospace 6.750% 2023,Corporate Bond,EUR,IT,XMIL,Borsa Italiana,2020-04-14,2023-04-14,6.750,Semi-Annual,30/360,100000,279930000,Subordinated,No,Active,7704041003,A
GBXVGBCLBZD9,05638DQ60,2ZGG2Z4,BLUE.L,BLUE,Bluepeak Retail Group,Bluepeak Retail Group 3.650% 2028,Corporate Bond,GBP,GB,XLON,London Stock Exchange,2017-07-19,2028-07-19,3.650,Quarterly,30/360,1000,877460000,Senior Secured,No,Active,0001505714,B
USKPJ7HGLP70,980KDFYA4,BLX0ZX1,HARB.N,HARB,Harborstone Aerospace,Harborstone Aerospace 6.620% 2030,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2018-09-01,2030-09-01,6.620,Annual,30/360,1000,1426880000,Senior Secured,Yes,Active,3840060013,A
USSDWBBDYDA3,75213W5G5,BNCF597,IRON.N,IRON,Ironbridge Logistics,Ironbridge Logistics 5.270% 2037,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2023-06-15,2037-06-15,5.270,Quarterly,ACT/ACT,100000,325080000,Senior Secured,No,Active,1011572602,A
UST9ZPBMNDM3,60063WBB2,B5FF8C2,ACME.N,ACME1,Acme Industrials,Acme Industrials Common Stock,Equity,USD,US,XNYS,New York Stock Exchange,2019-04-24,,,,,,,,No,Active,7003857179,A
GBMYLTY3HYX3,510GAL233,CY3JB18,SILV.L,SILV7,Silverline Retail Group,Silverline Retail Group Common Stock,Equity,GBP,GB,XLON,London Stock Exchange,2022-07-07,,,,,,,,No,Active,5696166407,A
CHMC0HF5MQ24,850FDMM10,DZFRV49,SILV.S,SILV,Silverline Industrials,Silverline Industrials 5.080% 2021,Corporate Bond,CHF,CH,XSWX,SIX Swiss Exchange,2017-04-03,2021-04-03,5.080,Annual,30/360,1000,1209720000,Senior Secured,No,Active,7400773514,B
GB2K2D416YE4,286Y9P2X3,38BM4Y0,SOLA.L,SOLA,Solaris Marine,Solaris Marine 3.060% 2022,Corporate Bond,GBP,GB,XLON,London Stock Exchange,2015-04-28,2022-04-28,3.060,Semi-Annual,ACT/ACT,1000,1089270000,Senior Secured,No,Active,1128821604,A
NLXXD92L22K8,573H5K6W5,2TYYBK6,ACME.AS,ACME7,Acme Retail Group,Acme Retail Group Common Stock,Equity,EUR,NL,XAMS,Euronext Amsterdam,2020-06-04,,,,,,,,No,Active,9105095937,B
IT3HVCSQC1Y9,1680LAJA1,CQX88J6,KEST.MI,KEST7,Kestrel Marine,Kestrel Marine Common Stock,Equity,EUR,IT,XMIL,Borsa Italiana,2019-02-02,,,,,,,,No,Active,1852613504,B
ITNPDBXEZVC8,9590WXN25,CF79DV5,IRON.MI,IRON3,Ironbridge Pharma,Ironbridge Pharma Common Stock,Equity,EUR,IT,XMIL,Borsa Italiana,2015-06-21,,,,,,,,No,Active,3600716454,A
DE78GA7SB9Q9,935GG0Q34,0FCNJ16,MERI.DE,MERI,Meridian Capital,Meridian Capital 4.150% 2023,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2018-09-01,2023-09-01,4.150,Quarterly,ACT/360,1000,887680000,Subordinated,No,Active,4064890931,A
DEMBQ6AB67Q7,028QYLNZ6,DWFH3H5,ACME.DE,ACME,Acme Materials,Acme Materials 2.700% 2030,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2016-09-15,2030-09-15,2.700,Quarterly,ACT/ACT,1000,1321110000,Senior Secured,No,Active,1297849425,A
DEFZPJ85Z838,332A6TZZ3,BTM36N4,KEST.DE,KEST,Kestrel Aerospace,Kestrel Aerospace 6.780% 2033,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2019-09-27,2033-09-27,6.780,Annual,ACT/ACT,100000,1386000000,Senior Unsecured,No,Active,8748189262,A
DE3EXRSG6WC0,2657Q6MN0,DLXYT06,REDC.DE,REDC,Redcliff Mining,Redcliff Mining 4.470% 2034,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2020-06-21,2034-06-21,4.470,Quarterly,ACT/360,100000,749700000,Senior Unsecured,Yes,Active,6541911622,A
CHAT7XWFA0E5,601V14766,C774FL8,CRES.S,CRES5,Crescent Materials,Crescent Materials Common Stock,Equity,CHF,CH,XSWX,SIX Swiss Exchange,2017-01-19,,,,,,,,No,Active,6517719172,B
GBLGC42Q5ZJ7,7700GP0Z9,C0XNDF0,IRON.L,IRON8,Ironbridge Energy,Ironbridge Energy Common Stock,Equity,GBP,GB,XLON,London Stock Exchange,2023-11-14,,,,,,,,No,Active,6378368048,B
NLG6AXW9VBW5,856KHNLF7,CHRG235,HARB.AS,HARB,Harborstone Capital,Harborstone Capital 0.610% 2027,Corporate Bond,EUR,NL,XAMS,Euronext Amsterdam,2022-01-11,2027-01-11,0.610,Annual,ACT/360,1000,192060000,Senior Unsecured,No,Active,1356843692,B
IT18E0FYG5X9,0812TMHB7,C1SQHF9,REDC.MI,REDC7,Redcliff Foods,Redcliff Foods Common Stock,Equity,EUR,IT,XMIL,Borsa Italiana,2015-10-17,,,,,,,,No,Matured,0842233954,B
