LEGAL_ENTITY_IDENTIFIER,LEGAL_NM,SHORT_NM,ULT_PARENT_LEI,ULT_PARENT_NM,CNTRY_DOM,CNTRY_REG,ENTITY_TYP,REG_NUM,ENTITY_STAT,BIC_CD,BBG_INTERNAL_KEY
RQ0G7S0YQ06PVGQFYN95,REDCLIFF PHARMA NV,REDCLIFF PHARMA,ZJZLDVACYJQY8SDAS783,REDCLIFF PHARMA NV,NL,NL,Societe Anonyme,97892279,ACTIVE,AHSDNLQE,S5ZB6YTXZT
826JBL5Y80DTBQH6D697,OAKFIELD ENERGY AG,OAKFIELD ENERGY,6T9N6GSHD7AKC2KWW361,OAKFIELD ENERGY AG,DE,DE,Aktiengesellschaft,18038885,ACTIVE,BSBEDENM,A50LT2TMZX
PB6XM3ZQ6SYRCMCJ2N41,OAKFIELD INDUSTRIALS NV,OAKFIELD INDUSTRIALS,75AYYPV5AERQDK3TL541,OAKFIELD INDUSTRIALS HOLDINGS NV,NL,NL,Corporation,36876887,ACTIVE,PBGPNLE3,7H3GJV7R1T
64JKG0KT6AG5K3LZ1Q12,ACME FINANCIAL SPA,ACME FINANCIAL,SKNX7HL9K32XH9QKCL79,ACME FINANCIAL SPA,IT,IT,Public Limited Company,81642875,ACTIVE,BJELITKR,EW4Z6S6A2J
L5L06X6NRPRR86PGXA67,MERIDIAN AEROSPACE SPA,MERIDIAN AEROSPACE,D9V1XR12AKY63Z6Z4884,MERIDIAN AEROSPACE HOLDINGS SPA,IT,IT,Corporation,47499987,ACTIVE,QNMFITAZ,PKGN4P62V6
ZET1KEKSNX0SKPCCC991,BLUEPEAK RETAIL GROUP PLC,BLUEPEAK RETAIL GROUP,R625080PYTMQEBMX4M04,BLUEPEAK RETAIL GROUP PLC,GB,GB,Corporation,21559850,ACTIVE,JVHEGB5N,T1ALTV4XNG
6B08DFQ1MC25BTLDSR37,HARBORSTONE AEROSPACE CORP,HARBORSTONE AEROSPACE,RDNSLCTV94W6K9YM8C04,HARBORSTONE AEROSPACE CORP,US,US,Aktiengesellschaft,57910590,ACTIVE,TBKVUSS7,Q07456KGR3
7FD62YYHL9DLAZSJMX02,IRONBRIDGE LOGISTICS CORP,IRONBRIDGE LOGISTICS,NZTGAMJBBJAX8FZ16674,IRONBRIDGE LOGISTICS CORP,US,US,Societe Anonyme,90810046,ACTIVE,YFBBUSRL,Q1XXEQZA3M
EQTGZA7Z64NB5PPZZ074,ACME INDUSTRIALS CORP,ACME INDUSTRIALS,E88V0Z52016P63J5AE80,ACME INDUSTRIALS HOLDINGS CORP,US,US,Corporation,03147786,ACTIVE,RFVBUS10,04G08HZ772
DNRV31R3904CDPA7VZ98,SILVERLINE RETAIL GROUP PLC,SILVERLINE RETAIL GROUP,63PM58PARM04RN61CH84,SILVERLINE RETAIL GROUP PLC,GB,GB,Aktiengesellschaft,46512064,ACTIVE,BZGBGBDT,VVCGGSX50M
5YLCABEY4Q2JQ7TL7Y77,SILVERLINE INDUSTRIALS AG,SILVERLINE INDUSTRIALS,1CK1V6XK57ZFT4YSRD17,SILVERLINE INDUSTRIALS AG,CH,CH,Corporation,18621866,ACTIVE,ERRTCH44,9EWQAPDG8V
Z1ZLR269NGN9NXZCNC36,SOLARIS MARINE PLC,SOLARIS MARINE,2LCQTRWSD26CRRLTS857,SOLARIS MARINE PLC,GB,GB,Societe Anonyme,88425919,ACTIVE,XLBMGBFR,9P265QK6AV
F5TKTK27GM07214DBK39,ACME RETAIL GROUP NV,ACME RETAIL GROUP,2MANPTZTRLCDVXBCB131,ACME RETAIL GROUP NV,NL,NL,Public Limited Company,50147417,ACTIVE,RWBTNLQ6,PQ55TNGL8T
7CZXCAR2DVFZD2AMQ195,KESTREL MARINE SPA,KESTREL MARINE,Q5FL1TVHN784GBXT7E33,KESTREL MARINE SPA,IT,IT,Public Limited Company,25123188,ACTIVE,BFLBIT49,ZBE79HQ4VM
WC23XZNXJ6BGW9PQ1K51,IRONBRIDGE PHARMA SPA,IRONBRIDGE PHARMA,RLJ6XXKFWV52RDH4Y286,IRONBRIDGE PHARMA SPA,IT,IT,Aktiengesellschaft,15922931,ACTIVE,AYBVIT9D,Y5ZBQ2Q2YP
G5B9BW9KP964XKXJW608,MERIDIAN CAPITAL AG,MERIDIAN CAPITAL,D7FNL1DQ5EGN099FHH63,MERIDIAN CAPITAL AG,DE,DE,Corporation,07726479,ACTIVE,KSQTDEET,YBEFWTYDR7
SY71VBP0FDADYZMAXY51,ACME MATERIALS AG,ACME MATERIALS,5X15HXFR492E5EQ5XN50,ACME MATERIALS HOLDINGS AG,DE,DE,Public Limited Company,30316038,ACTIVE,JWBXDE0W,R7A96NJ5QQ
9C8G02H0MT1JQE9DRX21,KESTREL AEROSPACE AG,KESTREL AEROSPACE,Y5ETS5R7Y950624JRK41,KESTREL AEROSPACE AG,DE,DE,Aktiengesellschaft,43825672,ACTIVE,JXJBDE4Q,PVPKN6X9J2
TB5YDYLQ4TDZP88MYT15,REDCLIFF MINING AG,REDCLIFF MINING,6F244NVC7SC8HAN5GR84,REDCLIFF MINING AG,DE,DE,Corporation,65097488,ACTIVE,BHEBDE71,4YAAQD4H2R
ZNGXXWXWG69P3ZQG3Y21,CRESCENT MATERIALS AG,CRESCENT MATERIALS,669C6HEAM6K06QFAY150,CRESCENT MATERIALS AG,CH,CH,Societe Anonyme,33898263,ACTIVE,RBXMCHTA,2S858N6SRG
J8RMMHE0AL1PGC9NW114,IRONBRIDGE ENERGY PLC,IRONBRIDGE ENERGY,BXRZBAZFFWL2NB4Z5323,IRONBRIDGE ENERGY PLC,GB,GB,Public Limited Company,03603411,ACTIVE,BTNRGBF5,8MDAFQDALQ
XQXAFH5W7AMKKEY07Z28,HARBORSTONE CAPITAL NV,HARBORSTONE CAPITAL,70TS8TFV3WCMSCWDZW58,HARBORSTONE CAPITAL NV,NL,NL,Societe Anonyme,48522135,ACTIVE,PBBBNLN1,CAY2CMWHP0
0RWFFXG6VX6PWJ6Z1S87,REDCLIFF FOODS SPA,REDCLIFF FOODS,D7G76XF76JKAKQ2RXC44,REDCLIFF FOODS SPA,IT,IT,Public Limited Company,60658354,ACTIVE,BBRYITRA,Z8GZN3M741
